,OBJECTID,CODE,NAME,DESIG_DATE,HOTLINK,STAT_AREA,SHAPE_Leng_left,Shape_Length_left,Shape_Area_left,index_right,FID_1,CSREF,STATUS,CS_TYPE,STARTDATE,ENDDATE,ORG_NAME,DURATION,TOTVAL,GROSSAR,SUM_GIS_HA,AVGANNCOST,TOTVAL_NO,APP_YEAR,MAG_CS_TYP,SHAPE_Leng_right,Shape_Le_1,Shape_Length_right,Shape_Area_right,END_YEAR,AREA_CLIP
0,1,11,East Devon,Sep-63,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/east-devon-aonb,269.13,135262.88328676525,135262.88328676525,269134222.8429675,446,2252,324029,Agreement Live,Mid Tier,01-01-2017 00:00:00,31-12-2018 00:00:00,AL & PA Cooke,2,10044,0.04,6.05130317385,5022,10044.0,2016,"COUNTRYSIDE STEWARDSHIP (Middle Tier)

",2053.50363511,2053.50363511,2053.503635108532,60513.03173850622,2018,0.06051303173850619
0,1,11,East Devon,Sep-63,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/east-devon-aonb,269.13,135262.88328676525,135262.88328676525,269134222.8429675,555,6871,493795,Agreement Live,WOODLAND MANAGEMENT PLAN,01-04-2018 16:56:36,31-03-2020 16:56:36,*Unavailable,2,*Unavailable,189.64,37.8529617742,*Unavailable,0.0,2017,WOODLAND MANAGEMENT PLAN,4676.09175533,4676.09175533,4676.091755333927,378529.61780142464,2020,0.3785296178014247
10,11,2,Blackdown Hills,Jun-91,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/blackdown-hills-aonb,369.58,105456.27088684645,105456.27088684645,369587130.25225693,555,6871,493795,Agreement Live,WOODLAND MANAGEMENT PLAN,01-04-2018 16:56:36,31-03-2020 16:56:36,*Unavailable,2,*Unavailable,189.64,37.8529617742,*Unavailable,0.0,2017,WOODLAND MANAGEMENT PLAN,4676.09175533,4676.09175533,4676.091755333927,378529.61780142464,2020,0.3785296178014247
0,1,11,East Devon,Sep-63,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/east-devon-aonb,269.13,135262.88328676525,135262.88328676525,269134222.8429675,540,6528,492835,Agreement Live,Mid Tier,01-01-2018 00:00:00,31-12-2022 00:00:00,"R S, N J & M P GLANVILLE",5,204868.65,1271.37,161.195251993,40973.729999999996,204868.65,2017,"COUNTRYSIDE STEWARDSHIP (Middle Tier)

",22947.7720858,8468.65264419,8468.652644188725,533725.1083215448,2022,0.5337251083215454
32,33,10,Dorset,Jul-59,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/dorset-aonb,1129.33,376380.35031126416,376380.35031126416,1129330692.0767696,540,6528,492835,Agreement Live,Mid Tier,01-01-2018 00:00:00,31-12-2022 00:00:00,"R S, N J & M P GLANVILLE",5,204868.65,1271.37,161.195251993,40973.729999999996,204868.65,2017,"COUNTRYSIDE STEWARDSHIP (Middle Tier)

",22947.7720858,8468.65264419,8468.652644188725,533725.1083215448,2022,0.5337251083215454
0,1,11,East Devon,Sep-63,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/east-devon-aonb,269.13,135262.88328676525,135262.88328676525,269134222.8429675,712,12040,643683,Agreement Live,Mid Tier,01-01-2019 00:00:00,31-12-2023 00:00:00,P C & H A Humphry & Son,5,10356.7,51.25,15.4299221921,2071.34,10356.7,2018,"COUNTRYSIDE STEWARDSHIP (Middle Tier)

",4663.7741343,4663.77413438,4663.774134378698,154299.22224568462,2023,0.1542992222456846
10,11,2,Blackdown Hills,Jun-91,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/blackdown-hills-aonb,369.58,105456.27088684645,105456.27088684645,369587130.25225693,712,12040,643683,Agreement Live,Mid Tier,01-01-2019 00:00:00,31-12-2023 00:00:00,P C & H A Humphry & Son,5,10356.7,51.25,15.4299221921,2071.34,10356.7,2018,"COUNTRYSIDE STEWARDSHIP (Middle Tier)

",4663.7741343,4663.77413438,4663.774134378698,154299.22224568462,2023,0.1542992222456846
0,1,11,East Devon,Sep-63,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/east-devon-aonb,269.13,135262.88328676525,135262.88328676525,269134222.8429675,854,16195,824147,Agreement Live,Mid Tier,01-01-2020 00:00:00,31-12-2024 00:00:00,DRJ & KF Laramy,5,74080.3,17.31,47.9928846087,14816.060000000001,74080.3,2019,"COUNTRYSIDE STEWARDSHIP (Middle Tier)

",6739.18756989,6739.18756989,6739.187569887251,479928.8469786161,2024,0.4799288469786161
10,11,2,Blackdown Hills,Jun-91,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/blackdown-hills-aonb,369.58,105456.27088684645,105456.27088684645,369587130.25225693,854,16195,824147,Agreement Live,Mid Tier,01-01-2020 00:00:00,31-12-2024 00:00:00,DRJ & KF Laramy,5,74080.3,17.31,47.9928846087,14816.060000000001,74080.3,2019,"COUNTRYSIDE STEWARDSHIP (Middle Tier)

",6739.18756989,6739.18756989,6739.187569887251,479928.8469786161,2024,0.4799288469786161
0,1,11,East Devon,Sep-63,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/east-devon-aonb,269.13,135262.88328676525,135262.88328676525,269134222.8429675,702,11805,643335,Agreement Live,Mid Tier,01-01-2019 00:00:00,31-12-2023 00:00:00,JM Rich & TI Rich,5,66866.3,49.35,16.0336771461,13373.26,66866.3,2018,"COUNTRYSIDE STEWARDSHIP (Middle Tier)

",3894.24837705,3894.24837705,3894.2483770511703,160336.7714612825,2023,0.1603367714612825
10,11,2,Blackdown Hills,Jun-91,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/blackdown-hills-aonb,369.58,105456.27088684645,105456.27088684645,369587130.25225693,702,11805,643335,Agreement Live,Mid Tier,01-01-2019 00:00:00,31-12-2023 00:00:00,JM Rich & TI Rich,5,66866.3,49.35,16.0336771461,13373.26,66866.3,2018,"COUNTRYSIDE STEWARDSHIP (Middle Tier)

",3894.24837705,3894.24837705,3894.2483770511703,160336.7714612825,2023,0.1603367714612825
0,1,11,East Devon,Sep-63,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/east-devon-aonb,269.13,135262.88328676525,135262.88328676525,269134222.8429675,733,12579,644426,Agreement Live,Mid Tier,01-01-2019 00:00:00,31-12-2023 00:00:00,Hole House Farm,5,17734.75,74.4,15.052675389,3546.95,17734.75,2018,"COUNTRYSIDE STEWARDSHIP (Middle Tier)

",3560.21829613,3560.21829613,3560.2182961337257,150526.75388982001,2023,0.15052675388981995
0,1,11,East Devon,Sep-63,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/east-devon-aonb,269.13,135262.88328676525,135262.88328676525,269134222.8429675,581,7306,496079,Agreement Live,Higher Tier,01-01-2018 00:00:00,31-12-2022 00:00:00,"BURROUGH & CO, J",5,96989.2,536.7,176.663593196,19397.84,96989.2,2017,COUNTRYSIDE STEWARDSHIP (Higher Tier),20033.7109993,17723.0040075,17723.004007494514,1591628.5611886685,2022,1.5916285611886682
0,1,11,East Devon,Sep-63,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/east-devon-aonb,269.13,135262.88328676525,135262.88328676525,269134222.8429675,697,11709,643204,Agreement Live,Mid Tier,01-01-2019 00:00:00,31-12-2023 00:00:00,"HALL, L M",5,53836.9,52.95,14.1890898158,10767.380000000001,53836.9,2018,"COUNTRYSIDE STEWARDSHIP (Middle Tier)

",2999.70810511,2999.70810511,2999.708105114315,141890.8981581946,2023,0.14189089815819464
0,1,11,East Devon,Sep-63,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/east-devon-aonb,269.13,135262.88328676525,135262.88328676525,269134222.8429675,420,627,113543,Agreement Live,Mid Tier,01-01-2016 00:00:00,31-12-2020 00:00:00,*Unavailable,5,*Unavailable,94.1,10.1716870347,*Unavailable,0.0,2015,"COUNTRYSIDE STEWARDSHIP (Middle Tier)

",1763.57682274,1763.57682274,1763.576822744647,101716.87008758032,2020,0.1017168700875803
0,1,11,East Devon,Sep-63,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/east-devon-aonb,269.13,135262.88328676525,135262.88328676525,269134222.8429675,683,10897,635830,Agreement Live,Mid Tier,01-01-2019 00:00:00,31-12-2023 00:00:00,T P Glasper t/as Glaspers,5,13361.45,117.2,17.5144255031,2672.29,13361.45,2018,"COUNTRYSIDE STEWARDSHIP (Middle Tier)

",4672.60377358,4672.60377358,4672.60377357909,175144.25503071176,2023,0.17514425503071185
0,1,11,East Devon,Sep-63,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/east-devon-aonb,269.13,135262.88328676525,135262.88328676525,269134222.8429675,665,10133,629573,Agreement Live,Mid Tier,01-01-2019 00:00:00,31-12-2023 00:00:00,MR T P SELWAY,5,7063.15,5.65,7.30546948425,1412.6299999999999,7063.15,2018,"COUNTRYSIDE STEWARDSHIP (Middle Tier)

",1974.40948289,1974.40948289,1974.4094828895693,73054.69484254855,2023,0.07305469484254858
0,1,11,East Devon,Sep-63,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/east-devon-aonb,269.13,135262.88328676525,135262.88328676525,269134222.8429675,514,5650,487710,Agreement Live,Mid Tier,01-01-2016 00:00:00,31-12-2020 00:00:00,BOVEY FARM,5,33120.38,42.64,74.3399749317,6624.075999999999,33120.38,2017,"COUNTRYSIDE STEWARDSHIP (Middle Tier)

",9036.0122961,1299.79968893,1299.799688928829,79991.83007881904,2020,0.07999183007881906
0,1,11,East Devon,Sep-63,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/east-devon-aonb,269.13,135262.88328676525,135262.88328676525,269134222.8429675,715,12113,643785,Agreement Live,Mid Tier,01-01-2019 00:00:00,31-12-2023 00:00:00,R A & J A Reed,5,162295.7,116.08,95.0598715993,32459.140000000003,162295.7,2018,"COUNTRYSIDE STEWARDSHIP (Middle Tier)

",7598.53055391,2412.93589226,2412.9358922636766,311433.2474089812,2023,0.3114332474089811
0,1,11,East Devon,Sep-63,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/east-devon-aonb,269.13,135262.88328676525,135262.88328676525,269134222.8429675,707,11923,643517,Agreement Live,Mid Tier,01-01-2019 00:00:00,31-12-2023 00:00:00,P G & J I GIBBINS,5,36623.05,35.88,40.2580376445,7324.610000000001,36623.05,2018,"COUNTRYSIDE STEWARDSHIP (Middle Tier)

",5505.72534756,4117.41327281,4117.4132728130035,330484.8064342183,2023,0.3304848064342184
0,1,11,East Devon,Sep-63,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/east-devon-aonb,269.13,135262.88328676525,135262.88328676525,269134222.8429675,671,10454,631705,Agreement Live,Mid Tier,01-01-2019 00:00:00,31-12-2023 00:00:00,Christopher John Phillips,5,24762.75,167.91,16.2278374849,4952.55,24762.75,2018,"COUNTRYSIDE STEWARDSHIP (Middle Tier)

",3136.2284603,3136.2284603,3136.228460295666,162278.37484907283,2023,0.16227837484907295
0,1,11,East Devon,Sep-63,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/east-devon-aonb,269.13,135262.88328676525,135262.88328676525,269134222.8429675,778,14008,648756,Agreement Live,WOODLAND MANAGEMENT PLAN,01-12-2018 00:00:00,30-11-2020 00:00:00,*Unavailable,2,*Unavailable,122.55,24.5122605254,*Unavailable,0.0,2018,WOODLAND MANAGEMENT PLAN,4519.68630701,4519.68630701,4519.6863070050385,245122.60525401763,2020,0.24512260525401777
0,1,11,East Devon,Sep-63,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/east-devon-aonb,269.13,135262.88328676525,135262.88328676525,269134222.8429675,782,14278,669335,Agreement Live,Mid Tier,01-01-2019 00:00:00,31-12-2023 00:00:00,Diepenbroek Farms Ltd,5,72385.6,50.69,36.811476029,14477.12,72385.6,2018,"COUNTRYSIDE STEWARDSHIP (Middle Tier)

",6885.14594199,2200.48331521,2200.483315208438,72200.48434450796,2023,0.07220048434450797
0,1,11,East Devon,Sep-63,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/east-devon-aonb,269.13,135262.88328676525,135262.88328676525,269134222.8429675,696,11679,643160,Agreement Live,Mid Tier,01-01-2019 00:00:00,31-12-2023 00:00:00,Haye Farm Partnership,5,29816.64,186.04,28.9867324373,5963.3279999999995,29816.64,2018,"COUNTRYSIDE STEWARDSHIP (Middle Tier)

",5391.17166654,5391.17166654,5391.171666539706,289867.3243730799,2023,0.2898673243730798
0,1,11,East Devon,Sep-63,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/east-devon-aonb,269.13,135262.88328676525,135262.88328676525,269134222.8429675,873,16722,826888,Agreement Live,Mid Tier,01-01-2020 00:00:00,31-12-2024 00:00:00,*Unavailable,5,*Unavailable,19.25,3.85092925924,*Unavailable,0.0,2019,"COUNTRYSIDE STEWARDSHIP (Middle Tier)

",1128.82563039,1128.82563039,1128.8256303861012,38509.29259241027,2024,0.03850929259241025
0,1,11,East Devon,Sep-63,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/east-devon-aonb,269.13,135262.88328676525,135262.88328676525,269134222.8429675,849,16095,823619,Agreement Live,Mid Tier,01-01-2020 00:00:00,31-12-2024 00:00:00,"CLIGG, A J",5,42964.2,167.5,52.1466026261,8592.84,42964.2,2019,"COUNTRYSIDE STEWARDSHIP (Middle Tier)

",10834.2545657,7153.54571674,7153.545716738828,349688.67476310284,2024,0.34968867476310295
0,1,11,East Devon,Sep-63,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/east-devon-aonb,269.13,135262.88328676525,135262.88328676525,269134222.8429675,566,7023,494679,Agreement Live,Mid Tier,01-01-2018 00:00:00,31-12-2022 00:00:00,"HARDING, E T",5,8750.03,82.37,20.3659286334,1750.006,8750.03,2017,"COUNTRYSIDE STEWARDSHIP (Middle Tier)

",4423.70498508,4423.70498508,4423.7049850798085,203659.28633447108,2022,0.20365928633447108
0,1,11,East Devon,Sep-63,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/east-devon-aonb,269.13,135262.88328676525,135262.88328676525,269134222.8429675,478,3092,353606,Agreement Live,Mid Tier,01-01-2017 00:00:00,31-12-2021 00:00:00,Wadden Farm Estates,5,87502.95,164.4,22.1937294848,17500.59,87502.95,2016,"COUNTRYSIDE STEWARDSHIP (Middle Tier)

",4658.80046187,4658.80046187,4658.800461865635,221937.29484779708,2021,0.22193729484779698
0,1,11,East Devon,Sep-63,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/east-devon-aonb,269.13,135262.88328676525,135262.88328676525,269134222.8429675,806,15030,812734,Agreement Live,WOODLAND MANAGEMENT PLAN,01-08-2019 00:00:00,31-07-2021 00:00:00,*Unavailable,2,*Unavailable,15.65,3.13132342405,*Unavailable,0.0,2019,WOODLAND MANAGEMENT PLAN,734.139303767,734.139303767,734.1393037673205,31313.23424046935,2021,0.031313234240469355
0,1,11,East Devon,Sep-63,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/east-devon-aonb,269.13,135262.88328676525,135262.88328676525,269134222.8429675,754,13070,645206,Agreement Live,Mid Tier,01-01-2019 00:00:00,31-12-2023 00:00:00,APJ Dare & Partners,5,80568.3,563.65,104.517666987,16113.66,80568.3,2018,"COUNTRYSIDE STEWARDSHIP (Middle Tier)

",20376.0556859,8161.5720502,8161.572050197663,505731.0737548346,2023,0.5057310737548347
0,1,11,East Devon,Sep-63,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/east-devon-aonb,269.13,135262.88328676525,135262.88328676525,269134222.8429675,769,13269,645512,Agreement Live,Mid Tier,01-01-2019 00:00:00,31-12-2023 00:00:00,PETER E HURFORD & PARTNERS,5,231698.28,147.76,58.5843772685,46339.656,231698.28,2018,"COUNTRYSIDE STEWARDSHIP (Middle Tier)

",8048.96592372,8048.96592372,8048.965923717121,585843.7726852675,2023,0.5858437726852678
0,1,11,East Devon,Sep-63,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/east-devon-aonb,269.13,135262.88328676525,135262.88328676525,269134222.8429675,676,10593,632825,Agreement Live,Mid Tier,01-01-2019 00:00:00,31-12-2023 00:00:00,Mr & Mrs Shadwell,5,15821.95,115.85,22.1774318514,3164.3900000000003,15821.95,2018,"COUNTRYSIDE STEWARDSHIP (Middle Tier)

",3818.52789213,3818.52880828,3818.5288082777142,221774.3156239668,2023,0.2217743156239668
0,1,11,East Devon,Sep-63,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/east-devon-aonb,269.13,135262.88328676525,135262.88328676525,269134222.8429675,638,8957,578922,Agreement Live,Mid Tier,01-01-2018 00:00:00,31-12-2019 00:00:00,Waterford Farm Partnership,2,9987.52,0.08,0.573998913584,4993.76,9987.52,2017,"COUNTRYSIDE STEWARDSHIP (Middle Tier)

",415.102095477,415.102095477,415.10209547705074,5739.989135843021,2019,0.005739989135843022
0,1,11,East Devon,Sep-63,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/east-devon-aonb,269.13,135262.88328676525,135262.88328676525,269134222.8429675,813,15288,817649,Agreement Live,Mid Tier,01-01-2020 00:00:00,31-12-2021 00:00:00,J W Voysey and Sons,2,8990,0.02,1.40898710554,4495,8990.0,2019,"COUNTRYSIDE STEWARDSHIP (Middle Tier)

",794.139700038,794.139700038,794.1397000381559,14089.871055427542,2021,0.01408987105542755
0,1,11,East Devon,Sep-63,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/east-devon-aonb,269.13,135262.88328676525,135262.88328676525,269134222.8429675,623,8432,539682,Agreement Live,Mid Tier,01-01-2017 00:00:00,31-12-2021 00:00:00,S E VOYSEY & SON,5,68623.15,7.89,48.4537671717,13724.63,68623.15,2017,"COUNTRYSIDE STEWARDSHIP (Middle Tier)

",9036.92997149,917.122926644,917.1229266441021,30210.798585019635,2021,0.03021079858501963
0,1,11,East Devon,Sep-63,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/east-devon-aonb,269.13,135262.88328676525,135262.88328676525,269134222.8429675,860,16294,824790,Agreement Live,Mid Tier,01-01-2020 00:00:00,31-12-2024 00:00:00,MR A P WHITE,5,12588,7.13,1.47726545241,2517.6,12588.0,2019,"COUNTRYSIDE STEWARDSHIP (Middle Tier)

",815.426910071,815.426910071,815.4269100712024,14772.654524108884,2024,0.014772654524108888
0,1,11,East Devon,Sep-63,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/east-devon-aonb,269.13,135262.88328676525,135262.88328676525,269134222.8429675,463,2774,327191,Agreement Live,Mid Tier,01-01-2017 00:00:00,31-12-2021 00:00:00,Miss Kate Kenlock,5,52572.45,108.5,19.6960250854,10514.49,52572.45,2016,"COUNTRYSIDE STEWARDSHIP (Middle Tier)

",3401.6873752,3401.68719928,3401.6871992782444,196960.24878298613,2021,0.19696024878298593
0,1,11,East Devon,Sep-63,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/east-devon-aonb,269.13,135262.88328676525,135262.88328676525,269134222.8429675,745,12962,645031,Agreement Live,Mid Tier,01-01-2019 00:00:00,31-12-2023 00:00:00,Wadden Farm Estates,5,19900.3,56.75,11.3400588619,3980.06,19900.3,2018,"COUNTRYSIDE STEWARDSHIP (Middle Tier)

",3398.43179535,3398.43179535,3398.4317953479494,113400.58861896729,2023,0.1134005886189673
0,1,11,East Devon,Sep-63,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/east-devon-aonb,269.13,135262.88328676525,135262.88328676525,269134222.8429675,882,17499,830313,Agreement Live,Mid Tier,01-01-2020 00:00:00,31-12-2024 00:00:00,Mr N R Banks,5,12856.9,53.05,5.39459849389,2571.38,12856.9,2019,"COUNTRYSIDE STEWARDSHIP (Middle Tier)

",1343.3828287,1343.3828287,1343.382828695777,53945.984938944195,2024,0.05394598493894416
0,1,11,East Devon,Sep-63,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/east-devon-aonb,269.13,135262.88328676525,135262.88328676525,269134222.8429675,821,15548,820150,Agreement Live,Mid Tier,01-01-2020 00:00:00,31-12-2021 00:00:00,Mr R G Banks,2,9982,0.04,0.386076138205,4991,9982.0,2019,"COUNTRYSIDE STEWARDSHIP (Middle Tier)

",428.835560935,428.835560933,428.83556093327115,3860.7608725488667,2021,0.003860760872548866
0,1,11,East Devon,Sep-63,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/east-devon-aonb,269.13,135262.88328676525,135262.88328676525,269134222.8429675,855,16206,824229,Agreement Live,Mid Tier,01-01-2020 00:00:00,31-12-2024 00:00:00,Tricombe Farm,5,44434.15,68.6,14.1347995027,8886.83,44434.15,2019,"COUNTRYSIDE STEWARDSHIP (Middle Tier)

",3461.25262083,3461.25213839,3461.252138387723,141347.9794798828,2024,0.1413479794798827
0,1,11,East Devon,Sep-63,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/east-devon-aonb,269.13,135262.88328676525,135262.88328676525,269134222.8429675,567,7026,494697,Agreement Live,Mid Tier,01-01-2018 00:00:00,31-12-2022 00:00:00,Mr G M A Chugg,5,18350.65,193.2,39.2107221351,3670.13,18350.65,2017,"COUNTRYSIDE STEWARDSHIP (Middle Tier)

",6223.13687797,6223.13439052,6223.1343905188505,392107.2263514975,2022,0.3921072263514975
0,1,11,East Devon,Sep-63,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/east-devon-aonb,269.13,135262.88328676525,135262.88328676525,269134222.8429675,870,16600,826380,Agreement Live,Mid Tier,01-01-2020 00:00:00,31-12-2024 00:00:00,Mr G M A Chugg,5,7387.2,26.95,5.39092538833,1477.44,7387.2,2019,"COUNTRYSIDE STEWARDSHIP (Middle Tier)

",1068.15233227,1068.15233227,1068.1523322739336,53909.25388331306,2024,0.05390925388331305
0,1,11,East Devon,Sep-63,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/east-devon-aonb,269.13,135262.88328676525,135262.88328676525,269134222.8429675,694,11460,641927,Agreement Live,Mid Tier,01-01-2019 00:00:00,31-12-2023 00:00:00,G N BAILY,5,11198.35,37.4,19.7201009818,2239.67,11198.35,2018,"COUNTRYSIDE STEWARDSHIP (Middle Tier)

",3842.20013884,3842.19958381,3842.1995838066828,197201.00478445087,2023,0.19720100478445093
0,1,11,East Devon,Sep-63,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/east-devon-aonb,269.13,135262.88328676525,135262.88328676525,269134222.8429675,515,5695,487988,Agreement Live,Mid Tier,01-01-2018 00:00:00,31-12-2019 00:00:00,G N BAILY,2,2985.4,0.02,0.163926657447,1492.7,2985.4,2017,"COUNTRYSIDE STEWARDSHIP (Middle Tier)

",279.748025833,279.748025833,279.7480258331644,1639.2665744671694,2019,0.0016392665744671695
0,1,11,East Devon,Sep-63,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/east-devon-aonb,269.13,135262.88328676525,135262.88328676525,269134222.8429675,828,15832,822272,Agreement Live,Mid Tier,01-01-2020 00:00:00,31-12-2024 00:00:00,"LEE, D V",5,68686.35,149.83,47.0794830846,13737.27,68686.35,2019,"COUNTRYSIDE STEWARDSHIP (Middle Tier)

",8508.5069847,8508.50684389,8508.506843892808,470794.83052039205,2024,0.4707948305203919
0,1,11,East Devon,Sep-63,http://www.landscapesforlife.org.uk/about-aonbs/visit-aonbs/east-devon-aonb,269.13,135262.88328676525,135262.88328676525,269134222.8429675,437,2063,320335,Agreement Live,Mid Tier,01-01-2017 00:00:00,31-12-2021 00:00:00,Mr Charles Kenlock,5,17406.5,114.1,33.0335196549,3481.3,17406.5,2016,"COUNTRYSIDE STEWARDSHIP (Middle Tier)

",4351.93830043,4351.93845214,4351.938452138081,330335.1975500947,2021,0.33033519755009494
